Alarm Name,Severity,Description,Route To,Explanation,Recommended Action
EvtInitNoTftpSucceeded,ERROR_ALARM,"Cisco Unity Connection port %1 was unable to perform a TFTP download for any Cisco Unified Communications Manager certificates. The primary TFTP server is %2. Verify that this TFTP server and any alternate TFTP servers are functioning correctly. Cisco Unity Connection will continue trying the TFTP download every few seconds, but until that operation succeeds, this device will not register with Cisco Unified Communications Manager.",Event Log,Cisco Unity Connection port was unable to perform a TFTP download for any Cisco Unified Communications Manager certificates.,"Verify that the TFTP server and any alternate TFTP servers are functioning correctly. Cisco Unity Connection will continue trying the TFTP download every few seconds, but until that operation succeeds, this device will not register with Cisco Unified Communications Manager."
EvtInitRegRejected,ERROR_ALARM,"Cisco Unity Connection SCCP integration is able to connect to the Cisco Unified Communications Manager %2, but registration of device %1 (Cisco Unity Connection port %1 was rejected. Check that the device name '%3' is valid on the Cisco Unified Communications Manager server. If applicable, also ensure that the device security mode configured on Cisco Unified Communications Manager matches the device security mode configured on Cisco Unity Connection for this device.",Event Log,"Cisco Unity Connection SCCP integration is able to connect to the Cisco Unified Communications Manager, but registration of device (Cisco Unity Connection port) was rejected.","Check that the device name is valid on the Cisco Unified Communications Manager server. If applicable, also ensure that the device security mode configured on Cisco Unified Communications Manager matches the device security mode configured on Cisco Unity Connection for this device."
EvtInitTlsConnectFailed,ERROR_ALARM,"Cisco Unity Connection port %1 failed to create a secure connection to Cisco Unified Communications Manager %2. Verify that the current Cisco Unity Connection Root Certificate was copied to that Cisco Unified Communications Manager, and that the Cisco Unified Communications Manager server was restarted. The certificate for this device is valid from %3 to %4, so verify that the current time on the Cisco Unified Communications Manager server falls within that range. Technical Details: %5.",Event Log,Cisco Unity Connection port failed to create a secure connection to Cisco Unified Communications Manager.,"Verify that the current Cisco Unity Connection Root Certificate was copied to the Cisco Unified Communications Manager, and that the Cisco Unified Communications Manager server was restarted. Verify that the certificate is valid."
EvtLoadDllError,ERROR_ALARM,Unable to load library %1. Ensure that %1.so is on the system path.,Event Log,Unable to load the library.,Ensure that the library is installed and on the system path.
EvtLogonSessionLimitExceeded,WARNING_ALARM,"Limit for the maximum concurrent %1 sessions, which is %2, for the subscriber %3 has reached.",Event Log,Limit for the maximum concurrent sessions for the subscriber has reached.,Logout from one of the existing sessions.
EvtMbxOAuthDBHelperFailedToSetAccessToken,INFORMATIONAL_ALARM,Successfully updated OAuth Access Token in Database for UMS [Display name= %1].,Event Log,Successfully updated OAuth Access Token in Database for UMS.,No action necessary.
EvtMbxOAuthAccessTokenRefreshThreadFailed,ERROR_ALARM,Failed to start Refresh Token thread.,Event Log,Failed to start Refresh Token thread.,See the Cisco Unity Connection Troubleshooting Guide available at https://www.cisco.com/c/en/us/td/docs/voice_ip_comm/connection/12x/troubleshooting/guide/b_12xcuctsg.html
EvtMbxOAuthDBHelperFailedToSetAccessToken,ERROR_ALARM,Failed to save OAuth Access Token in Database for UMS [Display name= %1].,Event Log,Failed to save OAuth Access Token in Database for UMS.,See the Cisco Unity Connection Troubleshooting Guide available at https://www.cisco.com/c/en/us/td/docs/voice_ip_comm/connection/12x/troubleshooting/guide/b_12xcuctsg.html
EvtMbxOAuthDecryptionFailed,ERROR_ALARM,Failed to decrypt the UMS Impersonation Account for %2 while fetching OAuth Access Token for UMS [Display name= %1].,Event Log,Failed decryption for UMS Impersonation Account while fetching OAuth Access Token for UMS.,See the Cisco Unity Connection Troubleshooting Guide available at https://www.cisco.com/c/en/us/td/docs/voice_ip_comm/connection/12x/troubleshooting/guide/b_12xcuctsg.html
EvtMbxOAuthDecryptionFailed,ERROR_ALARM,Failed to decrypt the UMS Impersonation Account for %2 while fetching OAuth Access Token for UMS [Display name= %1].,Event Log,Failed decryption for UMS Impersonation Account while fetching OAuth Access Token for UMS.,See the Cisco Unity Connection Troubleshooting Guide available at https://www.cisco.com/c/en/us/td/docs/voice_ip_comm/connection/12x/troubleshooting/guide/b_12xcuctsg.html
EvtTUILogonSessionLimitExceeded,WARNING_ALARM,": Limit for the maximum of concurrent %1 sessions, which is %2, for the subscriber %3 has reached.",Event Log,Limit for the maximum concurrent sessions for the subscriber has reached.,Logout from one of the existing sessions.
EvtMgrComponentinitfail,ERROR_ALARM,%1: Component %2 initialize failed. Turn on diagnostics for component %2 to troubleshoot. TECHNICAL DETAILS: Error: %3,Event Log,Component failed to initialize.,Turn on diagnostics for component to troubleshoot.
EvtMgrComponentnotcreated,ERROR_ALARM,%1: Component %2 not created from class %3. Verify that component %2 is registered. TECHNICAL DETAILS: Error: %4,Event Log,Failed to create the component from class.,Turn on diagnostics for CuCsMgr and restart the Connection Conversation Manager service.
EvtMgrComponentpausefail,ERROR_ALARM,%1: Component %2 pause failed.,Event Log,Component failed to pause.,Turn on diagnostics for component to troubleshoot.
EvtMgrComponentrunfail,ERROR_ALARM,%1: Component %2 run failed. Turn on diagnostics for component %2 to troubleshoot.,Event Log,Component failed to run.,Turn on diagnostics for component to troubleshoot.
EvtMgrComponentstopfail,ERROR_ALARM,%1: Component %2 stop failed.,Event Log,Component failed to stop.,Turn on diagnostics for component to troubleshoot.
EvtMgrFailedtoinitialize,ERROR_ALARM,%1 service failed to initialize the component manager.,Event Log,Service failed to initialize the component manager.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMgrFailedtopause,ERROR_ALARM,%1 service failed to pause the component manager.,Event Log,Service failed to pause the component manager.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMgrFailedtorun,ERROR_ALARM,%1 service failed to run the component manager.,Event Log,Service failed to run the component manager.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMgrFailedtostop,ERROR_ALARM,%1 service failed to stop the component manager.,Event Log,Service failed to stop the component manager.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMgrStopped,INFORMATIONAL_ALARM,%1 service stopped.,Event Log,Service stopped.,None
EvtMgrVersionInfo,INFORMATIONAL_ALARM,Cisco Unity Connection Version Information: Cisco Unity Connection version : %1. Domain name: %2. Computer name: %3. Windows version: %4. SQL version: %5. TSP version: %6. Installed Engineering Specials: %7,Event Log,Cisco Unity Connection Version Information.,None
EvtMiuBusyHere,WARNING_ALARM,"Miu SIP Integration, All lines are busy on redirector %1. An incoming call will not be answered.",Event Log,Miu SIP Integration finds all lines are busy on the redirector. An incoming call will not be answered.,Add more voice ports to the Cisco Unity Connection server. Check there are no locked ports in syslog.
EvtMiuCallLoopSupervisedTransferDetected,ERROR_ALARM,"Component Miu: Cisco Unity Connection port %1 has dropped the call because Cisco Unity Connection detected a call loop on a supervised transfer. If there are active calls being dropped and you see this message, you may want to disable the CallLoopSupervisedTransferDetect feature in Cisco Unity Connection Administration.",Event Log,Component Miu: Cisco Unity Connection port has dropped the call because Cisco Unity Connection detected a call loop on a supervised transfer.,"If there are active calls being dropped and you see this message, you may want to disable the CallLoopSupervisedTransferDetect feature in Cisco Unity Connection Administration."
EvtMiuCalloninactiveFailover,INFORMATIONAL_ALARM,"Port %1 has detected an incoming call. This system is in inactive mode and is configured to fail over in this condition. Fail over to this system will occur, and the call will be answered.",Event Log,"Port has detected an incoming call. This system is in inactive mode and is configured to fail over in this condition. Fail over to this system will occur, and the call will be answered.",None
EvtMiuCalloninactiveFailoverFailure,ERROR_ALARM,"Port %1 has detected an incoming call. This system is in inactive mode and is configured to fail over in this condition. However, a serious failure occurred during the failover operation (%2), so the call will not be answered.",Event Log,"Port has detected an incoming call. This system is in inactive mode and is configured to fail over in this condition. However, a serious failure occurred during the failover operation, so the call will not be answered.",None
EvtMiuCalloninactiveFailoverWrongmode,INFORMATIONAL_ALARM,Port %1 has detected an incoming call. This system is in inactive mode but is not configured to fail over in this condition. The call will not be answered.,Event Log,Port has detected an incoming call. This system is in inactive mode but is not configured to fail over in this condition. The call will not be answered.,None
EvtMiuCalloninactiveIgnored,INFORMATIONAL_ALARM,Port %1 has detected an incoming call. This system is in inactive mode and is not configured to fail over in this condition. The call will not be answered.,Event Log,Port has detected an incoming call. This system is in inactive mode and is not configured to fail over in this condition. The call will not be answered.,None
EvtMiuCannotFindPort,ERROR_ALARM,"Miu SIP Integration, Cannot find the correct Connection Unity Connection port for an incoming call sent from [%1] to redirector %2.",Event Log,Miu SIP Integration Cannot find the correct Cisco Unity Connection port for an incoming call sent to a redirector.,None
EvtMiuCatastrophicfailure,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a Failure in method %3 DESCRIPTION: %4.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureCallinfoLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. CALLINFO: %6.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureCallinfoSeqLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. CALLINFO: %6 CALL SEQUENCE: %7.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetail,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a Failure in method %3 DESCRIPTION: %4. DETAILS: %5.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetailCallinfoLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. DETAILS: %6. CALLINFO: %7.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetailCallinfoSeqLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. DETAILS: %6. CALLINFO: %7. CALL SEQUENCE: %8.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetailLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. DETAILS: %6.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetailSeq,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a Failure in method %3 DESCRIPTION: %4. DETAILS: %5. CALL SEQUENCE: %6.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureDetailSeqLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. DETAILS: %6. CALL SEQUENCE: %7.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureSeq,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuCatastrophicfailureSeqLine,ERROR_ALARM,"Cisco Unity Connection's telephony component has encountered a serious error. EXPLANATION: A serious failure has occurred on port %1 during telephony processing. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly. TECHNICAL DETAILS: Thread %2 had a failure on port %3 in method %4 DESCRIPTION: %5. CALL SEQUENCE: %6.",Event Log,"Cisco Unity Connection's telephony component has encountered a serious error. Depending upon the severity of the failure, parties on this call could experience unexpected behavior or be disconnected. In some cases, further calls on this port will not be handled correctly.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuComponentinitfail,ERROR_ALARM,"Media component (%1) initialize failed (%2). Please Run ""Check Telephone Configuration"" task found in Cisco Unity Connection Administration, under Tools->Task Management->Check Telephone Configuration. Examine Report for errors.",Event Log,Media component initialization failed.,"To troubleshoot this problem, use Cisco Unity Connection Administration, under Tools->Task Management->Check Telephone Configuration. Examine Report for errors."
EvtMiuComponentinitfailCallevent,ERROR_ALARM,Media component (Miu) initialize failed due to insufficient system resources. (Failed to create CallEvent). Please free up system resources and restart Cisco Unity Connection.,Event Log,Media component (Miu) initialize failed due to insufficient system resources. (Failed to create CallEvent).,Restart Cisco Unity Connection.
EvtMiuComponentinitfailMiuloaddb,ERROR_ALARM,Media component (Miu) initialize failed: Failed to load data SQL. TECHNICAL DETAILS: %s,Event Log,Media component (Miu) initialization failed: Failed to load data SQL.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuComponentinitfailMiuPortsinited,INFORMATIONAL_ALARM,Port Group [%1] initialized %2 ports successfully.,Event Log,Port Group initialized successfully.,None
EvtMiuComponentinitfailNotuninitstate,ERROR_ALARM,"Media component (Miu) initialize failed because Cisco Unity Connection was not properly shutdown prior to restarting. Using Cisco Unity Connection Serviceability, Tools->Control Center->Restart All of Cisco Unity Connection. Reboot the system if necessary.",Event Log,Media component (Miu) initialization failed because Cisco Unity Connection was not properly shutdown prior to restarting.,"Use Cisco Unity Connection Serviceability, Tools->Control Center->Restart All of Cisco Unity Connection. Reboot the system if necessary."
EvtMiuComponentinitfailSeckey,ERROR_ALARM,"Media component (Miu) initialize failed. Unable to read data from the license server. To troubleshoot this problem, open the Cisco Unity Connection Administration, under System->Licensing->License Unit Report examine number of license Units. (internal failure code=%1).",Event Log,Media component (Miu) initialization failed. Unable to read data from the license server.,"To troubleshoot this problem, use the Cisco Unity Connection Administration, under System->Licensing->License Unit Report examine number of license Units."
EvtMiuComponentinitok,INFORMATIONAL_ALARM,Media component %1 initialize succeeded.,Event Log,Media component initialization succeeded.,None
EvtMiuComponentinitokNoports,WARNING_ALARM,"Media component (%1) initialize succeeded, but no ports are available. Cisco Unity Connection will not be able to process any incoming or outgoing calls with no media ports. Please ensure that the license file contains media ports and that an integration is installed.",Event Log,"Media component initialize succeeded, but no ports are available. Cisco Unity Connection will not be able to process any incoming or outgoing calls with no media ports.",Please ensure that the license file contains media ports and that an integration is installed.
EvtMiuCurrentRecordFormat,INFORMATIONAL_ALARM,Cisco Unity Connection is using %1 as the record format for all messages and greetings.,Event Log,Cisco Unity Connection is using given record format for all messages and greetings.,None
EvtMiuDBWriterSQLExecError,ERROR_ALARM,Media component (Miu) DBWriter encountered the following error executing SQL: %1. SprocRequest=[%2],Event Log,Media component (Miu) DBWriter encountered an error executing SQL.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuDBWriterUnrecoverableError,ERROR_ALARM,Media component (Miu) DBWriter encountered an error from which it cannot recover. %1,Event Log,Media component (Miu) DBWriter encountered an error from which it cannot recover.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuErrorSetPerfCounters,ERROR_ALARM,Component Miu was unable to set performance counters. Context: %1,Event Log,Component Miu was unable to set performance counters.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuFailLicenseConfiguredportsMismatch,ERROR_ALARM,The number of configured voice ports exceeds the licensed voice ports. Only %1 voice ports will be initialized.,Event Log,The number of configured voice ports exceeds the licensed voice ports. Only licensed voice ports will be initialized.,"To troubleshoot this problem, use the Cisco Unity Connection Administration, under System->Licensing->License Unit Report examine number of license Units."
EvtMiuFailtoAuthenticate,ERROR_ALARM,Miu SIP Integration failed to authenticate while attempting to register. Verify that the Cisco Unity Connection and SIP proxy configuration server user names and passwords are correct.,Event Log,Miu SIP Integration failed to authenticate while attempting to register.,Verify that the Cisco Unity Connection and SIP proxy configuration server user names and passwords are correct.
EvtMiuFailtoRegisterpimg2,ERROR_ALARM,Component Miu SIP Integration failed to maintain contact with PIMG %1 (Cisco Unity Connection port group %2). Check Cisco Unity Connection SIP configuration and PIMG status.,Event Log,Component Miu SIP Integration failed to maintain contact with PIMG.,Check Cisco Unity Connection SIP configuration and PIMG status.
EvtMiuFailtoRegisterproxy2,ERROR_ALARM,Miu SIP Integration failed to register with proxy %1 using contact line name %2 (Cisco Unity Connection port group %3). Verify the SIP proxy server is running and the IP address and IP port are correctly identified for Cisco Unity Connection and SIP proxy servers.,Event Log,Miu SIP Integration failed to register with proxy.,Verify the SIP proxy server is running and the IP address and IP port are correctly identified for Cisco Unity Connection and SIP proxy servers.
EvtMiuNetworkError,ERROR_ALARM,"Miu SIP Integration, Problem initializing the network connection. Check Cisco Unity Connection SIP configuration.",Event Log,Miu SIP Integration finds problem initializing the network connection.,Check Cisco Unity Connection SIP configuration.
EvtMiuNodiag,ERROR_ALARM,"Component diagnostic setting: %1, not found. Component initialization has failed.",Event Log,Component diagnostic setting not found. Component initialization has failed.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuPortGroupInitialized,INFORMATIONAL_ALARM,Media component (Miu) Port group '%1' successfully initialized %2 ports.,Event Log,Media component (Miu) Port group successfully initialized ports.,None
EvtMiuPortStuckWithCallinfoOnly,ERROR_ALARM,"Port %1 has been busy since %2. The system threshold is %3 minutes, indicating that this port is currently unavailable and may be unable to handle further calls. CALLINFO: %4. Additional Info: %5",Event Log,"Port is busy and is currently unavailable, it may be unable to handle further calls.",None
EvtMiuRejectforwardnotificationOccurred,ERROR_ALARM,"Component Miu: Cisco Unity Connection port %1 has dropped the call because Cisco Unity Connection detected a forwarded notification. If there are active calls being dropped and you see this message, you may want to disable the CallLoopRejectForwardNotificationDetect feature in Cisco Unity Connection Administration.",Event Log,Component Miu: Cisco Unity Connection port has dropped the call because Cisco Unity Connection detected a forwarded notification.,"If there are active calls being dropped and you see this message, you may want to disable the CallLoopRejectForwardNotificationDetect feature in Cisco Unity Administration."
EvtMiuSipmiuMwiPimgBadaddr,ERROR_ALARM,"Component Miu: Cisco Unity Connection port %1 (PIMG %2) failed to toggle an MWI for extension %3 to state %4. The extension can be dialed. Check whether this is a valid extension, and whether the port and PIMG are configured and operating properly.",Event Log,Component Miu: Cisco Unity Connection port failed to toggle an MWI for a given extension. The extension can be dialed.,"Check whether this is a valid extension, and whether the port and PIMG are configured and operating properly."
EvtMiuSipmiuMwiPimgNotavail,ERROR_ALARM,Component Miu: Cisco Unity Connection port %1 (PIMG %2) failed to toggle an MWI for extension %3 to state %4. This port on the PIMG cannot be reached. Check the status and configuration for both the port and the PIMG.,Event Log,Component Miu: Cisco Unity Connection port failed to toggle an MWI for a given extension. This port on the PIMG cannot be reached.,Check the status and configuration for both the port and the PIMG.
EvtMiuSipmiuMwiProxyBadaddr,ERROR_ALARM,"Component Miu: Cisco Unity Connection port %1 (Proxy %2) failed to toggle an MWI for extension %3 to state %4. The extension can be dialed. Check whether this is a valid extension, and whether the port and proxy server are configured or operating properly.",Event Log,Component Miu: Cisco Unity Connection port failed to toggle an MWI for a given extension. The extension can be dialed.,"Check whether this is a valid extension, and whether the port and proxy server are configured or operating properly."
EvtMiuSipmiuMwiProxyNotavail,ERROR_ALARM,Component Miu: Cisco Unity Connection port %1 (Proxy %2) failed to toggle an MWI for extension %3 to state %4. This port on the proxy server cannot be reached. Check the status and configuration for both the port and the proxy server.,Event Log,Component Miu: Cisco Unity Connection port failed to toggle an MWI for a given extension. This port on the proxy server cannot be reached.,Check the status and configuration for both the port and the proxy server.
EvtMiuSipNoDTMF,WARNING_ALARM,"Miu SIP Integration, No DTMF method negotiated for call from %1. This means there is no keypad interaction for this call.",Event Log,"Miu SIP Integration was not able to find a common DTMF method for this call. While the call will proceed, there is no keypad interaction for this call.","SIP Integration supports RFC2833 and KPML DTMF methods, make sure calling endpoint supports one of these. Also check Media Port Group settings for configuration of these DTMF methods."
EvtMiuSuccessRegisterpimg2,INFORMATIONAL_ALARM,Component Miu SIP Integration succeeded in contacting PIMG %1 (Cisco Unity Connection port group %2).,Event Log,Component Miu SIP Integration succeeded in contacting PIMG.,None
EvtMiuSuccessRegisterproxy2,INFORMATIONAL_ALARM,Miu SIP Integration succeeded in registering with proxy %1 using contact line name %2 (Cisco Unity Connection port group %3).,Event Log,Miu SIP Integration succeeded in registering with proxy.,None
EvtMiuTtsLoadFailed,ERROR_ALARM,Component Miu: Failed to load Text To Speech Component. The Text To Speech feature will be disabled.,Event Log,Component Miu failed to load Text To Speech Component. The Text To Speech feature will be disabled.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMiuTtsNoLicense,INFORMATIONAL_ALARM,Component Miu: There were no TTS licenses available for the call on port %1. Possible causes are all available TTS licenses were in use or there are no TTS licenses in the license file.,Event Log,Component Miu detected problem in the TTS system -- There were no TTS licenses available. Possible causes are all available TTS licenses were in use or there are no TTS licenses in the license file.,None
EvtMiuTtsRestarted,ERROR_ALARM,Component Miu: Problem detected in the TTS system -- it has been restarted.,Event Log,Component Miu detected problem in the TTS system -- it has been restarted.,None
EvtMiuWaveioSilenceLeadingTimeout,INFORMATIONAL_ALARM,[Port %1] Recording stopped due to leading silence time out.,Event Log,Recording stopped due to leading silence time out.,None
EvtMsgAllportsbusy,INFORMATIONAL_ALARM,All Answer Ports Busy detected.,Event Log,All Answer Ports Busy detected.,See the Cisco Unity Connection Troubleshooting Guide.
EvtMsgBeginMbxResynch,INFORMATIONAL_ALARM,Begin resynchronizing user mailboxes. %1 mailboxes are scheduled for synchronization. (Sequence #%2),Event Log,Begin resynchronizing user mailboxes.,None
EvtMsgBeginSwitchResynch,INFORMATIONAL_ALARM,Begin resynchronizing user mailboxes with MWI on switch %1. %2 mailboxes are scheduled for synchronization. (Sequence #%3),Event Log,Begin resynchronizing user mailboxes with MWI.,None
EvtMsgCallFromVm,INFORMATIONAL_ALARM,"Port %1 has received a forwarded call originating from another Cisco Unity Connection port. Cisco Unity Connection is configured to not accept calls from itself, so the call will be dropped.",Event Log,"Port has received a forwarded call originating from another Cisco Unity Connection port. Cisco Unity Connection is configured to not accept calls from itself, so the call will be dropped.",See the Cisco Unity Connection Troubleshooting Guide.
EvtMsgCallOnNoanswerPort,INFORMATIONAL_ALARM,"Port %1 has received an incoming call. This port is configured to not answer incoming calls, so the call will be ignored.",Event Log,"Port has received an incoming call. This port is configured to not answer incoming calls, so the call will be ignored.",None
EvtMsgContinuedcallRoutingFailed,ERROR_ALARM,[%1] Failed routing a continued call to application [%2] with data object type [%3]. Routing call to the default error rule instead.,Event Log,Failed routing a continued call to an application. Routing call to the default error rule instead.,Verify that the routing rules are correct.
EvtMsgCreateworkerthreadFailed,ERROR_ALARM,Unable to create all necessary port threads. This could happen if the system is low on virtual memory. Close some applications and restart Unity.,Event Log,Unable to create all necessary port threads. This could happen if the system is low on virtual memory.,Restart Cisco Unity Connection.
EvtMsgCuEncryptLoadFailure,ERROR_ALARM,Connection System Agent failed while loading CuEncrypt. Error message %1. See the diagnostic log for more information.,Event Log,Connection System Agent failed while loading CuEncrypt.,See the trace log for more information.
EvtMsgCuEncryptReturnFailure,ERROR_ALARM,"CuEncrypt returned a failure, or bad values were passed back while retrieving credentials. Return code %1. See the diagnostic log for more information.",Event Log,"CuEncrypt returned a failure, or bad values were passed back while retrieving credentials.",See the diagnostic log for more information.
EvtMsgDeliveryResourcesFailure,ERROR_ALARM,"Notification failure for %1 %2 due to lack of a suitable port for dialing out. Phone number to dial: %3, Switch ID: %4. Use Cisco Unity Connection Administration to check the port configuration.",Event Log,Notification failure due to lack of a suitable port for dialing out.,Use Cisco Unity Connection Administration to check the port configuration.
EvtMsgEndMbxResynch,INFORMATIONAL_ALARM,Finished resynchronizing user mailboxes. %1 mailboxes have been resynchronized. (Sequence #%2),Event Log,Finished resynchronizing user mailboxes.,None
EvtMsgEndSwitchResynch,INFORMATIONAL_ALARM,Finished resynchronizing user mailboxes with MWI on switch %1. %2 mailboxes have been resynchronized. (Sequence #%3),Event Log,Finished resynchronizing user mailboxes with MWI.,None
EvtMsgErrorInitializingObject,ERROR_ALARM,Could not initialize object (%1). Turn on Notifier/Initialization traces to troubleshoot.,Event Log,Could not initialize object.,Turn on Notifier/Initialization traces to troubleshoot.
